name,state,city,type,indoor_or_outdoor,min_age,max_age,price_band,url,verified
National Air and Space Museum,DC,Washington,museum,indoor,3,99,free,https://airandspace.si.edu,false
National Museum of Natural History,DC,Washington,museum,indoor,3,99,free,https://naturalhistory.si.edu,false
Smithsonian National Zoo,DC,Washington,zoo,outdoor,0,99,free,https://nationalzoo.si.edu,false
National Museum of American History,DC,Washington,museum,indoor,5,99,free,https://americanhistory.si.edu,false
Pacific Science Center,WA,Seattle,science_center,indoor,2,99,$$,https://pacificsciencecenter.org,false
Woodland Park Zoo,WA,Seattle,zoo,outdoor,0,99,$$,https://zoo.org,false
Seattle Aquarium,WA,Seattle,aquarium,indoor,0,99,$$,https://seattleaquarium.org,false
Museum of Flight,WA,Seattle,museum,indoor,4,99,$$,https://museumofflight.org,false
Mount Rainier National Park,WA,Ashford,park,outdoor,4,99,$$,https://www.nps.gov/mora,false
Museum of Science,MA,Boston,science_center,indoor,2,99,$$$,https://mos.org,false
New England Aquarium,MA,Boston,aquarium,indoor,0,99,$$$,https://neaq.org,false
Boston Children's Museum,MA,Boston,museum,indoor,0,10,$$,https://bostonchildrensmuseum.org,false
Franklin Park Zoo,MA,Boston,zoo,outdoor,0,99,$$,https://zoonewengland.org,false
The Franklin Institute,PA,Philadelphia,science_center,indoor,3,99,$$$,https://fi.edu,false
Please Touch Museum,PA,Philadelphia,museum,indoor,0,8,$$,https://pleasetouchmuseum.org,false
Philadelphia Zoo,PA,Philadelphia,zoo,outdoor,0,99,$$,https://philadelphiazoo.org,false
Carnegie Science Center,PA,Pittsburgh,science_center,indoor,2,99,$$,https://carnegiesciencecenter.org,false
Denver Museum of Nature and Science,CO,Denver,museum,indoor,2,99,$$,https://dmns.org,false
Denver Zoo,CO,Denver,zoo,outdoor,0,99,$$,https://denverzoo.org,false
Rocky Mountain National Park,CO,Estes Park,park,outdoor,4,99,$$,https://www.nps.gov/romo,false
Children's Museum of Denver,CO,Denver,museum,both,0,8,$$,https://mychildsmuseum.org,false
Adventure Science Center,TN,Nashville,science_center,indoor,2,99,$$,https://adventuresci.org,false
Nashville Zoo,TN,Nashville,zoo,outdoor,0,99,$$,https://nashvillezoo.org,false
Great Smoky Mountains National Park,TN,Gatlinburg,park,outdoor,0,99,free,https://www.nps.gov/grsm,false
Saint Louis Science Center,MO,St. Louis,science_center,indoor,2,99,free,https://slsc.org,false
Saint Louis Zoo,MO,St. Louis,zoo,outdoor,0,99,free,https://stlzoo.org,false
City Museum,MO,St. Louis,museum,both,3,99,$$,https://citymuseum.org,false
Science Museum of Minnesota,MN,St. Paul,science_center,indoor,2,99,$$,https://smm.org,false
Minnesota Zoo,MN,Apple Valley,zoo,both,0,99,$$,https://mnzoo.org,false
North Carolina Museum of Natural Sciences,NC,Raleigh,museum,indoor,2,99,free,https://naturalsciences.org,false
Museum of Life and Science,NC,Durham,science_center,both,0,99,$$,https://lifeandscience.org,false
Great Lakes Bay Children's Museum,MI,Bay City,museum,indoor,0,10,$$,https://greatlakesbaycm.org,false
Detroit Zoo,MI,Royal Oak,zoo,outdoor,0,99,$$,https://detroitzoo.org,false
Henry Ford Museum of American Innovation,MI,Dearborn,museum,indoor,4,99,$$$,https://thehenryford.org,false
Discovery Children's Museum,NV,Las Vegas,museum,indoor,0,10,$$,https://discoverykidslv.org,false
Springs Preserve,NV,Las Vegas,garden,both,0,99,$$,https://springspreserve.org,false
Bishop Museum,HI,Honolulu,museum,both,3,99,$$,https://bishopmuseum.org,false
Honolulu Zoo,HI,Honolulu,zoo,outdoor,0,99,$$,https://honoluluzoo.org,false
Natural History Museum of Utah,UT,Salt Lake City,museum,indoor,2,99,$$,https://nhmu.utah.edu,false
Zion National Park,UT,Springdale,park,outdoor,4,99,$$,https://www.nps.gov/zion,false
Oregon Museum of Science and Industry,OR,Portland,science_center,indoor,2,99,$$,https://omsi.edu,false
Oregon Zoo,OR,Portland,zoo,outdoor,0,99,$$,https://oregonzoo.org,false
Milwaukee Public Museum,WI,Milwaukee,museum,indoor,3,99,$$,https://mpm.edu,false
Betty Brinn Children's Museum,WI,Milwaukee,museum,indoor,0,10,$$,https://bbcmkids.org,false
Audubon Aquarium of the Americas,LA,New Orleans,aquarium,indoor,0,99,$$,https://audubonnatureinstitute.org,false
Louisiana Children's Museum,LA,New Orleans,museum,both,0,10,$$,https://lcm.org,false
Riverbanks Zoo and Garden,SC,Columbia,zoo,outdoor,0,99,$$,https://riverbanks.org,false
Maryland Science Center,MD,Baltimore,science_center,indoor,2,99,$$,https://mdsci.org,false
National Aquarium,MD,Baltimore,aquarium,indoor,0,99,$$$,https://aqua.org,false
Virginia Aquarium and Marine Science Center,VA,Virginia Beach,aquarium,indoor,0,99,$$,https://virginiaaquarium.com,false
Shenandoah National Park,VA,Luray,park,outdoor,0,99,$$,https://www.nps.gov/shen,false
